Name,Salary,Position,Team,Opponent,FPPG
Jacob deGrom,11500,P,NYM,KAN,40.88
Jose Berrios,9100,P,MIN,TEX,31.54
Eduardo Rodriguez,8400,P,BOS,BAL,37
German Marquez,7600,P,COL,MIA,30.9
